case_index,layout,gpu_layers,cpu_offload_ratio,batch_size,sequence_length,new_tokens,name,category,src,dst,bytes,wall_ms,phase
0,suffix,6,0.5,4,512,32,input_ids,token_copy,cpu,cuda:0,16384,0.085284,prefill
0,suffix,6,0.5,4,512,32,embeddings,gpu_compute,,cuda:0,0,0.310026,prefill
0,suffix,6,0.5,4,512,32,into_block_0,activation_copy,cuda:0,cpu,6291456,1.554011,prefill
0,suffix,6,0.5,4,512,32,block_0,cpu_compute,,cpu,0,476.939696,prefill
0,suffix,6,0.5,4,512,32,block_1,cpu_compute,,cpu,0,505.154723,prefill
0,suffix,6,0.5,4,512,32,block_2,cpu_compute,,cpu,0,490.371063,prefill
0,suffix,6,0.5,4,512,32,block_3,cpu_compute,,cpu,0,551.412664,prefill
0,suffix,6,0.5,4,512,32,block_4,cpu_compute,,cpu,0,496.968776,prefill
0,suffix,6,0.5,4,512,32,block_5,cpu_compute,,cpu,0,495.479588,prefill
0,suffix,6,0.5,4,512,32,into_block_6,activation_copy,cpu,cuda:0,6291456,1.657469,prefill
0,suffix,6,0.5,4,512,32,block_6,gpu_compute,,cuda:0,0,18.772274,prefill
0,suffix,6,0.5,4,512,32,block_7,gpu_compute,,cuda:0,0,16.867756,prefill
0,suffix,6,0.5,4,512,32,block_8,gpu_compute,,cuda:0,0,16.844849,prefill
0,suffix,6,0.5,4,512,32,block_9,gpu_compute,,cuda:0,0,16.756037,prefill
0,suffix,6,0.5,4,512,32,block_10,gpu_compute,,cuda:0,0,16.769515,prefill
0,suffix,6,0.5,4,512,32,block_11,gpu_compute,,cuda:0,0,16.746631,prefill
0,suffix,6,0.5,4,512,32,final_norm,gpu_compute,,cuda:0,0,0.146327,prefill
0,suffix,6,0.5,4,512,32,lm_head,gpu_compute,,cuda:0,0,2.499637,prefill
0,suffix,6,0.5,4,512,32,argmax,gpu_compute,,cuda:0,0,0.105136,prefill
0,suffix,6,0.5,4,512,32,output_token,token_copy,cuda:0,cpu,32,0.059496,prefill
0,suffix,6,0.5,4,512,32,embeddings,gpu_compute,,cuda:0,0,0.161356,decode
0,suffix,6,0.5,4,512,32,into_block_0,activation_copy,cuda:0,cpu,12288,0.04949,decode
0,suffix,6,0.5,4,512,32,block_0,cpu_compute,,cpu,0,9.078385,decode
0,suffix,6,0.5,4,512,32,block_1,cpu_compute,,cpu,0,8.777554,decode
0,suffix,6,0.5,4,512,32,block_2,cpu_compute,,cpu,0,10.116949,decode
0,suffix,6,0.5,4,512,32,block_3,cpu_compute,,cpu,0,11.613168,decode
0,suffix,6,0.5,4,512,32,block_4,cpu_compute,,cpu,0,11.591062,decode
0,suffix,6,0.5,4,512,32,block_5,cpu_compute,,cpu,0,11.016477,decode
0,suffix,6,0.5,4,512,32,into_block_6,activation_copy,cpu,cuda:0,12288,0.138729,decode
0,suffix,6,0.5,4,512,32,block_6,gpu_compute,,cuda:0,0,1.22646,decode
0,suffix,6,0.5,4,512,32,block_7,gpu_compute,,cuda:0,0,0.931612,decode
0,suffix,6,0.5,4,512,32,block_8,gpu_compute,,cuda:0,0,0.952686,decode
0,suffix,6,0.5,4,512,32,block_9,gpu_compute,,cuda:0,0,0.927074,decode
0,suffix,6,0.5,4,512,32,block_10,gpu_compute,,cuda:0,0,0.911895,decode
0,suffix,6,0.5,4,512,32,block_11,gpu_compute,,cuda:0,0,0.868987,decode
0,suffix,6,0.5,4,512,32,final_norm,gpu_compute,,cuda:0,0,0.057342,decode
0,suffix,6,0.5,4,512,32,lm_head,gpu_compute,,cuda:0,0,1.35793,decode
0,suffix,6,0.5,4,512,32,argmax,gpu_compute,,cuda:0,0,0.10228,decode
0,suffix,6,0.5,4,512,32,output_token,token_copy,cuda:0,cpu,32,0.063077,decode
1,suffix,6,0.5,1,512,32,input_ids,token_copy,cpu,cuda:0,4096,0.066791,prefill
1,suffix,6,0.5,1,512,32,embeddings,gpu_compute,,cuda:0,0,0.226135,prefill
1,suffix,6,0.5,1,512,32,into_block_0,activation_copy,cuda:0,cpu,1572864,0.481406,prefill
1,suffix,6,0.5,1,512,32,block_0,cpu_compute,,cpu,0,94.94388,prefill
1,suffix,6,0.5,1,512,32,block_1,cpu_compute,,cpu,0,124.679678,prefill
1,suffix,6,0.5,1,512,32,block_2,cpu_compute,,cpu,0,103.835903,prefill
1,suffix,6,0.5,1,512,32,block_3,cpu_compute,,cpu,0,100.863491,prefill
1,suffix,6,0.5,1,512,32,block_4,cpu_compute,,cpu,0,100.413691,prefill
1,suffix,6,0.5,1,512,32,block_5,cpu_compute,,cpu,0,96.620629,prefill
1,suffix,6,0.5,1,512,32,into_block_6,activation_copy,cpu,cuda:0,1572864,0.510992,prefill
1,suffix,6,0.5,1,512,32,block_6,gpu_compute,,cuda:0,0,4.748509,prefill
1,suffix,6,0.5,1,512,32,block_7,gpu_compute,,cuda:0,0,4.550255,prefill
1,suffix,6,0.5,1,512,32,block_8,gpu_compute,,cuda:0,0,4.545468,prefill
