case_index,layout,gpu_layers,cpu_offload_ratio,batch_size,sequence_length,new_tokens,status,activation_boundaries,dtype,placement_prefill_max_abs_error,placement_decode_max_abs_error,placement_argmax_agreement,gpu_baseline_allocated_bytes,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,cpu_parameter_bytes,gpu_parameter_bytes,cpu_buffer_bytes,gpu_buffer_bytes,prefill_ms_median,prefill_ms_p95,prefill_ms_min,prefill_ms_max,prefill_input_tokens_per_s_median,prefill_input_tokens_per_s_p95,prefill_input_tokens_per_s_min,prefill_input_tokens_per_s_max,ttft_ms_median,ttft_ms_p95,ttft_ms_min,ttft_ms_max,generation_ms_median,generation_ms_p95,generation_ms_min,generation_ms_max,decode_ms_median,decode_ms_p95,decode_ms_min,decode_ms_max,decode_tpot_ms_median,decode_tpot_ms_p95,decode_tpot_ms_min,decode_tpot_ms_max,decode_generated_tokens_per_s_median,decode_generated_tokens_per_s_p95,decode_generated_tokens_per_s_min,decode_generated_tokens_per_s_max,generation_generated_tokens_per_s_median,generation_generated_tokens_per_s_p95,generation_generated_tokens_per_s_min,generation_generated_tokens_per_s_max,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,gpu_peak_above_baseline_bytes,profile_prefill_cpu_compute_ms,profile_prefill_gpu_compute_ms,profile_prefill_activation_copy_ms,profile_prefill_token_copy_ms,profile_prefill_activation_fraction,profile_prefill_activation_bytes,profile_decode_cpu_compute_ms,profile_decode_gpu_compute_ms,profile_decode_activation_copy_ms,profile_decode_token_copy_ms,profile_decode_activation_fraction,profile_decode_activation_bytes
0,suffix,6,0.5,4,512,32,ok,2,float32,0.00017547607421875,4.57763671875e-05,1.0,344965120,552599552,608174080,170108928,327650304,6291456,6291456,3113.5705135,4271.849394149999,2785.838296,4569.592818,657.7663317456361,702.8243999248383,448.1799761091974,735.1467610092758,3138.231136,3879.8135647999998,2780.540069,3935.084849,5559.0024015,6966.82240475,5013.112063,6993.104963,2004.1995555,3867.7815874999997,1886.9828040000002,3884.3958169999996,64.65159856451614,124.76714798387097,60.87041303225807,125.30309087096774,61.87583792932218,65.34089399534234,31.9225964195811,65.71337043302488,23.09926884241725,25.419170894751005,18.303743569878975,25.53304182939028,80068608,80068608,543,207634432,3016.32651,105.81818799999999,3.21148,0.14478,0.0010275088835855028,12582912,62.193595,7.497622,0.188219,0.063077,0.002691052865086503,24576
1,suffix,6,0.5,1,512,32,ok,2,float32,0.00017547607421875,4.57763671875e-05,1.0,344965120,401068032,411041792,170108928,327650304,6291456,6291456,647.583046,662.5377148499999,624.267717,666.506367,790.6333379834698,810.4549897294161,768.184709629338,820.1609438663316,626.9526845,792.1498977499999,613.93175,808.058534,1545.8872514999998,3568.88973815,1511.926372,3595.628528,920.8794680000001,2776.7398404,894.0620619999999,2787.5699940000004,29.705789290322585,89.57225291612903,28.84071167741935,89.92161270967743,33.66354496932718,34.47519049820523,11.120796990470115,34.67320817824837,20.70008882744403,21.06843786671912,8.899695769684914,21.165051812456912,20017152,20017152,543,56102912,621.357272,28.604407,0.992398,0.11660300000000001,0.0015242554003506964,3145728,23.123926,5.493833,0.111047,0.066534,0.0038564226017126385,6144
2,interleaved,6,0.5,1,512,32,ok,12,float32,0.00018310546875,6.103515625e-05,1.0,346537984,402116608,440401920,170108928,327650304,6291456,6291456,652.7787955,1280.2808856999998,624.539671,1430.26753,784.3409629011992,816.9591619648345,357.9749866795899,819.8038071467842,653.7166945,1359.8162536999998,621.718606,1422.851963,1622.9085180000002,2803.0319334999995,1586.667816,2974.06198,985.5505535,1443.2156797999996,957.119114,1551.2100169999999,31.79195333870968,46.55534450967741,30.87481012903226,50.03903280645161,31.45680861400833,32.27059416866124,19.984399056391602,32.38886314833328,19.71773396616694,20.1318754345743,10.759695061903182,20.168052617763568,20017152,20017152,543,55578624,633.655133,29.306638,6.346133,0.116327,0.009479986988998013,18874368,23.570708,6.612296,0.727541,0.043161,0.02350416457402548,36864
3,prefix,6,0.5,4,32,32,ok,2,float32,0.0001678466796875,6.103515625e-05,1.0,347324416,367377920,507510784,170108928,327650304,6291456,6291456,153.4816515,181.0820617,151.627222,182.194495,833.976324642168,842.9732453911574,702.5459248919678,844.1755926913969,152.8472275,181.13694995,150.100642,181.5905,1438.1227755,2570.083261499998,1401.204941,3459.84285,1280.4437055,2414.209649399998,1251.104299,3304.73394,41.30463566129033,77.87773062580638,40.35820319354839,106.6043206451613,96.84143263116712,98.72158261512004,37.52193134192219,99.1124401851328,89.00628376303689,90.73621691774187,36.99589997274009,91.3499490721536,9289728,9289728,63,20053504,144.82880600000001,11.510811,0.451686,0.136415,0.0028783060491582497,786432,33.240438,7.726846,0.157979,0.065858,0.003835268285123874,24576
4,prefix,6,0.5,4,512,32,ok,2,float32,0.0001678466796875,6.103515625e-05,1.0,347324416,554958848,652214272,170108928,327650304,6291456,6291456,3265.1517409999997,4780.37042135,3214.281838,4867.903403,627.2521175563032,635.0489275311995,420.7150040688677,637.1563239377642,3278.2251085,4524.3012794999995,3209.556164,4553.71674,5743.3749339999995,7087.260319049999,5178.405653,7213.318896,2054.3398479999996,3458.253689599999,1926.42506,3967.901942,66.2690273548387,111.55657063225803,62.14274387096774,127.99683683870968,60.36209287010209,63.7437883153906,31.250772275259013,64.36793341963688,22.381155162874094,24.71406114752297,17.7449523368473,24.718032648880243,80068608,80068608,543,207634432,4589.57032,105.404615,3.314027,0.172303,0.0007053430502209322,12582912,63.839415,7.657045,0.154697,0.057827,0.0021572889667492707,24576
5,interleaved,6,0.5,1,32,32,ok,12,float32,0.00018310546875,6.103515625e-05,1.0,347324416,352338432,377487360,170108928,327650304,6291456,6291456,71.092679,120.33924865,66.348415,122.521624,450.16866193977285,482.23865721983555,261.17838594761037,482.3024031546194,70.2719405,318.5378656499996,65.682322,471.544959,885.365567,1973.1234570499983,845.604124,2712.235241,811.948294,1681.2704644999985,778.033864,2240.690282,26.191880451612903,54.234531112903184,25.09786658064516,72.28033167741935,38.180305798420264,39.542230499833785,13.835022291581483,39.84402406422762,36.14332944966684,37.61561249897589,11.798386628219466,37.84276719066711,2322432,2322432,63,5014016,60.236290000000004,7.680549,1.038432,0.106935,0.015036183466250701,1179648,17.631608,6.554248,0.634904,0.044688,0.02553358379064797,36864
6,interleaved,6,0.5,4,512,32,ok,12,float32,0.00018310546875,6.103515625e-05,1.0,347324416,554958848,635437056,170108928,327650304,6291456,6291456,3267.828232,4681.4396522,3164.499607,4693.82648,626.7166607392141,640.6451353372712,436.31779076758716,647.1797296070891,3300.218844,4647.2826386,3178.577973,4733.856326,5691.346626500001,7199.43405935,5222.154216,7410.606278,2066.03847,3468.2564339499986,2001.2249009999996,4079.201548,66.64640225806451,111.87923980483868,64.55564196774192,131.58714670967743,60.018243518859265,61.451400997912025,30.39810574223679,61.96205131069375,22.533049617217557,24.4748139583154,17.27254089587729,24.510957491034002,80068608,80068608,543,207634432,3100.121624,104.367994,19.200207,0.129673,0.005955732636988971,75497472,62.684782,8.8112,0.829863,0.047829,0.0114663655184895,147456
7,interleaved,6,0.5,4,32,32,ok,12,float32,0.00018310546875,6.103515625e-05,1.0,347324416,367377920,400556032,170108928,327650304,6291456,6291456,155.09392,247.03130729999987,151.402097,301.343574,825.3076462485692,840.3928744441322,424.7643256530833,845.4308264964125,156.662903,263.8124695999999,151.854644,323.329268,1533.5330909999998,2471.9370453499996,1468.441783,2706.272213,1363.6410065,2239.5583452999995,1314.798037,2548.3076140000003,43.98841956451613,72.24381759032256,42.41283990322581,82.20347141935484,90.93302681054337,94.02557424583794,48.65974551846235,94.31106261987824,83.46839905122337,86.80145670047216,47.29753325815935,87.16722820192321,9289728,9289728,63,20053504,142.214116,12.125546,2.308862,0.12212,0.014727642504294362,4718592,33.037633,8.584127,0.769099,0.047148,0.01812288216079516,147456
8,suffix,6,0.5,4,32,32,ok,2,float32,0.00017547607421875,4.57763671875e-05,1.0,347324416,367377920,400556032,170108928,327650304,6291456,6291456,151.5482485,167.80638545,149.512828,175.945031,844.6190029666639,854.369713627071,727.4999428656783,856.1138312493159,151.63793800000002,190.90656909999993,148.428845,216.307009,1473.2647455000001,2661.0178473499977,1432.03903,3614.403452,1314.7935105000001,2474.292308799998,1282.002988,3398.096443,42.41269388709678,79.81588092903219,41.35493509677419,109.61601429032258,94.31628832964407,96.66869848504923,36.49101845106166,96.72364351774819,86.88449085533942,89.22601982919554,35.413866133060566,89.38303867318477,9289728,9289728,63,20053504,143.136617,11.157821,0.406617,0.122307,0.0026263284477700466,786432,32.333981,7.366832,0.154945,0.050341,0.003882739828816643,24576
9,prefix,6,0.5,1,512,32,ok,2,float32,0.0001678466796875,6.103515625e-05,1.0,344965120,403165184,417333248,170108928,327650304,6291456,6291456,652.2842880000001,744.4749788500001,619.376159,750.293527,784.9340608962341,814.4226386349195,682.39959639156,826.6382109809299,653.4336935,670.0721513999999,618.319204,672.690489,1575.383256,3512.44569895,1529.936023,3526.124452,937.6168974999999,2852.34593315,880.746678,2859.477521,30.24570637096774,92.01115913387096,28.41118316129032,92.2412103548387,33.06576263962686,34.93848432740079,10.841141352689796,35.19740780674282,20.312988728381338,20.88994273003639,9.075119280560209,20.915907279084962,20017152,20017152,543,58200064,626.63786,28.674591,1.096177,0.153219,0.0016695715795986543,3145728,23.675403,5.896367,0.146762,0.048593,0.00493033841864137,6144
