case_index,layout,gpu_layers,cpu_offload_ratio,batch_size,sequence_length,new_tokens,trial,prefill_ms,prefill_input_tokens_per_s,ttft_ms,generation_ms,decode_ms,decode_tpot_ms,decode_generated_tokens_per_s,generation_generated_tokens_per_s,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,decode_step_ms_json
0,suffix,6,0.5,4,512,32,0,3106.496525,659.263573455953,3108.709146,6993.104963,3884.3958169999996,125.30309087096774,31.9225964195811,18.303743569878975,80068608,80068608,543,"[59.447925, 58.720694, 61.640202, 117.174725, 107.561078, 125.914002, 150.261375, 252.990704, 308.103795, 120.107633, 304.165394, 272.513255, 143.040068, 99.437954, 99.8292, 173.409878, 295.653622, 173.239668, 101.930167, 97.270459, 109.93978, 77.068998, 61.18622, 61.110898, 60.463927, 60.321765, 61.834334, 89.474039, 60.399945, 60.230288, 59.922903]"
0,suffix,6,0.5,4,512,32,1,3087.502542,663.3192919327481,3042.948801,5066.470963,2023.5221619999998,65.2749084516129,61.27928931474683,25.264133740185812,80068608,80068608,543,"[91.627787, 59.090356, 59.86792, 60.034768, 60.957558, 64.327214, 61.890577, 61.141631, 60.996072, 110.207359, 58.214026, 58.084593, 57.728886, 61.961151, 61.391569, 75.213968, 70.903208, 63.418336, 68.839194, 60.031624, 59.632206, 59.907779, 60.02892, 75.861726, 71.896944, 60.219693, 59.908501, 60.028814, 60.172734, 63.884012, 66.021302]"
0,suffix,6,0.5,4,512,32,2,3692.350902,554.6601756866281,3260.43372,5245.310669,1984.8769490000004,64.02828867741937,62.47238654389753,24.402749060505645,80068608,80068608,543,"[62.054628, 62.065702, 57.875829, 59.687804, 65.327847, 60.797329, 59.295152, 68.71945, 59.54057, 60.147028, 63.589571, 88.067338, 60.395979, 60.237126, 60.912298, 60.93735, 66.946766, 65.557607, 61.893692, 60.42218, 60.168674, 60.394137, 67.480348, 59.065979, 60.064762, 60.292749, 66.586462, 72.66099, 77.217173, 59.703438, 76.720692]"
0,suffix,6,0.5,4,512,32,3,2785.838296,735.1467610092758,2780.540069,6628.015376,3847.475307,124.11210667741936,32.228926791134306,19.31196485504351,80068608,80068608,543,"[64.722475, 63.105232, 59.515946, 60.844291, 67.753296, 61.526836, 64.715698, 60.432852, 76.812334, 72.502359, 86.161636, 107.509167, 113.802702, 117.596211, 193.08905, 305.34509, 203.448718, 191.527495, 219.586439, 280.709098, 119.421639, 108.474985, 137.856651, 181.972968, 179.401927, 103.616102, 108.379145, 126.770041, 95.846531, 92.298199, 122.693942]"
0,suffix,6,0.5,4,512,32,4,3110.607046,658.3923876317227,3069.040193,5013.112063,1944.0718699999998,62.711995806451604,63.7836501384077,25.53304182939028,80068608,80068608,543,"[67.192572, 60.5181, 87.624283, 58.050518, 58.174207, 62.286464, 61.534826, 59.062506, 61.059512, 60.323542, 61.699102, 60.734539, 59.56155, 59.892455, 60.664015, 60.730945, 60.060768, 64.792402, 60.712104, 89.510151, 60.554358, 61.696082, 59.426669, 59.494756, 59.989641, 62.169537, 63.759612, 60.781487, 60.356085, 61.006606, 60.617148]"
0,suffix,6,0.5,4,512,32,5,3907.940765,524.0611675443346,3935.084849,5872.694134,1937.6092850000005,62.50352532258066,63.996390273284625,21.795788624328853,80068608,80068608,543,"[67.707286, 59.32708, 58.551477, 59.064929, 66.747517, 59.980924, 59.334803, 59.167374, 59.60087, 59.64969, 58.752035, 61.901018, 68.610233, 63.242649, 70.314841, 68.984287, 94.331871, 60.550426, 59.197252, 60.870219, 60.855061, 60.014882, 60.194463, 59.906951, 60.163888, 59.082569, 59.822102, 59.688549, 59.79533, 61.641706, 60.524941]"
0,suffix,6,0.5,4,512,32,6,3116.533981,657.1402758595495,3124.224633,6934.699278,3810.4746450000002,122.91853693548389,32.54187773239992,18.45790204718377,80068608,80068608,543,"[126.238503, 127.078423, 138.275663, 132.027338, 296.695944, 217.568999, 288.477759, 306.099128, 145.211479, 107.815619, 180.391469, 213.574025, 202.887717, 131.492308, 97.129133, 94.506422, 96.625166, 91.2782, 59.873208, 63.645024, 60.370088, 60.029049, 60.239443, 60.252075, 60.340895, 60.501639, 59.997506, 88.680738, 60.399484, 62.678407, 60.060049]"
0,suffix,6,0.5,4,512,32,7,3119.797973,656.4527631994843,3152.237639,5063.292079,1911.0544399999999,61.646917419354835,64.88564501595256,25.27999530796967,80068608,80068608,543,"[65.292089, 58.840299, 59.052844, 62.39788, 62.895378, 60.003063, 60.845159, 59.281905, 59.526869, 59.828668, 61.55221, 59.39495, 68.640072, 62.721497, 59.86738, 83.947919, 63.392821, 60.165412, 59.003256, 59.30736, 62.11422, 60.525359, 60.183934, 60.60123, 59.633342, 59.408854, 60.947992, 59.042588, 60.130363, 59.478648, 62.998062]"
0,suffix,6,0.5,4,512,32,8,4569.592818,448.1799761091974,3254.801018,5141.783822,1886.9828040000002,60.87041303225807,65.71337043302488,24.894084316094762,80068608,80068608,543,"[64.499276, 59.693447, 60.654748, 61.764317, 60.994083, 57.739352, 58.283719, 58.407894, 59.165867, 59.153901, 59.470038, 60.131496, 59.819548, 59.285691, 91.356823, 63.544821, 59.245664, 58.503523, 60.133605, 64.98048, 63.30351, 58.806789, 59.015881, 58.881605, 58.772567, 57.875301, 57.810993, 59.154108, 59.212097, 58.405766, 58.883039]"
0,suffix,6,0.5,4,512,32,9,3098.964743,660.8658600024609,3812.259773,6764.256769,2951.9969959999994,95.22570954838707,42.00546279959698,18.922995440772276,80068608,80068608,543,"[302.331256, 181.083974, 108.702562, 113.140137, 131.160901, 185.949981, 152.54609, 108.596623, 114.783699, 232.292255, 58.574607, 59.655752, 88.686873, 59.597752, 59.940743, 59.703932, 61.204076, 62.287831, 61.266025, 63.311817, 60.055352, 60.577116, 61.063111, 63.727525, 58.397278, 58.668311, 58.905052, 59.381102, 58.595511, 87.227406, 60.548889]"
