case_index,layout,gpu_layers,cpu_offload_ratio,batch_size,sequence_length,new_tokens,name,category,src,dst,bytes,wall_ms,phase
0,prefix,12,0.0,1,128,32,input_ids,token_copy,cpu,cuda:0,1024,0.094835,prefill
0,prefix,12,0.0,1,128,32,embeddings,gpu_compute,,cuda:0,0,0.243968,prefill
0,prefix,12,0.0,1,128,32,block_0,gpu_compute,,cuda:0,0,1.238348,prefill
0,prefix,12,0.0,1,128,32,block_1,gpu_compute,,cuda:0,0,1.110001,prefill
0,prefix,12,0.0,1,128,32,block_2,gpu_compute,,cuda:0,0,1.15158,prefill
0,prefix,12,0.0,1,128,32,block_3,gpu_compute,,cuda:0,0,1.121839,prefill
0,prefix,12,0.0,1,128,32,block_4,gpu_compute,,cuda:0,0,1.143303,prefill
0,prefix,12,0.0,1,128,32,block_5,gpu_compute,,cuda:0,0,1.083734,prefill
0,prefix,12,0.0,1,128,32,block_6,gpu_compute,,cuda:0,0,1.158912,prefill
0,prefix,12,0.0,1,128,32,block_7,gpu_compute,,cuda:0,0,1.124746,prefill
0,prefix,12,0.0,1,128,32,block_8,gpu_compute,,cuda:0,0,1.165346,prefill
0,prefix,12,0.0,1,128,32,block_9,gpu_compute,,cuda:0,0,1.129387,prefill
0,prefix,12,0.0,1,128,32,block_10,gpu_compute,,cuda:0,0,1.131498,prefill
0,prefix,12,0.0,1,128,32,block_11,gpu_compute,,cuda:0,0,1.12005,prefill
0,prefix,12,0.0,1,128,32,final_norm,gpu_compute,,cuda:0,0,0.06455,prefill
0,prefix,12,0.0,1,128,32,lm_head,gpu_compute,,cuda:0,0,0.715829,prefill
0,prefix,12,0.0,1,128,32,argmax,gpu_compute,,cuda:0,0,0.08354,prefill
0,prefix,12,0.0,1,128,32,output_token,token_copy,cuda:0,cpu,8,0.056901,prefill
0,prefix,12,0.0,1,128,32,embeddings,gpu_compute,,cuda:0,0,0.173997,decode
0,prefix,12,0.0,1,128,32,block_0,gpu_compute,,cuda:0,0,1.012401,decode
0,prefix,12,0.0,1,128,32,block_1,gpu_compute,,cuda:0,0,0.95492,decode
0,prefix,12,0.0,1,128,32,block_2,gpu_compute,,cuda:0,0,0.899677,decode
0,prefix,12,0.0,1,128,32,block_3,gpu_compute,,cuda:0,0,0.850579,decode
0,prefix,12,0.0,1,128,32,block_4,gpu_compute,,cuda:0,0,0.91484,decode
0,prefix,12,0.0,1,128,32,block_5,gpu_compute,,cuda:0,0,0.93504,decode
0,prefix,12,0.0,1,128,32,block_6,gpu_compute,,cuda:0,0,0.907454,decode
0,prefix,12,0.0,1,128,32,block_7,gpu_compute,,cuda:0,0,0.943844,decode
0,prefix,12,0.0,1,128,32,block_8,gpu_compute,,cuda:0,0,0.942591,decode
0,prefix,12,0.0,1,128,32,block_9,gpu_compute,,cuda:0,0,0.920066,decode
0,prefix,12,0.0,1,128,32,block_10,gpu_compute,,cuda:0,0,0.817434,decode
0,prefix,12,0.0,1,128,32,block_11,gpu_compute,,cuda:0,0,0.865575,decode
0,prefix,12,0.0,1,128,32,final_norm,gpu_compute,,cuda:0,0,0.061171,decode
0,prefix,12,0.0,1,128,32,lm_head,gpu_compute,,cuda:0,0,0.67148,decode
0,prefix,12,0.0,1,128,32,argmax,gpu_compute,,cuda:0,0,0.09753,decode
0,prefix,12,0.0,1,128,32,output_token,token_copy,cuda:0,cpu,8,0.056285,decode
1,prefix,0,1.0,4,512,32,embeddings,cpu_compute,,cpu,0,6.635789,prefill
1,prefix,0,1.0,4,512,32,block_0,cpu_compute,,cpu,0,530.76265,prefill
1,prefix,0,1.0,4,512,32,block_1,cpu_compute,,cpu,0,500.870583,prefill
1,prefix,0,1.0,4,512,32,block_2,cpu_compute,,cpu,0,535.305928,prefill
1,prefix,0,1.0,4,512,32,block_3,cpu_compute,,cpu,0,520.87562,prefill
1,prefix,0,1.0,4,512,32,block_4,cpu_compute,,cpu,0,540.26914,prefill
1,prefix,0,1.0,4,512,32,block_5,cpu_compute,,cpu,0,496.84652,prefill
1,prefix,0,1.0,4,512,32,block_6,cpu_compute,,cpu,0,518.135151,prefill
1,prefix,0,1.0,4,512,32,block_7,cpu_compute,,cpu,0,510.252421,prefill
1,prefix,0,1.0,4,512,32,block_8,cpu_compute,,cpu,0,842.385337,prefill
1,prefix,0,1.0,4,512,32,block_9,cpu_compute,,cpu,0,895.948624,prefill
1,prefix,0,1.0,4,512,32,block_10,cpu_compute,,cpu,0,884.944596,prefill
1,prefix,0,1.0,4,512,32,block_11,cpu_compute,,cpu,0,815.645047,prefill
1,prefix,0,1.0,4,512,32,final_norm,cpu_compute,,cpu,0,3.982092,prefill
1,prefix,0,1.0,4,512,32,lm_head,cpu_compute,,cpu,0,56.664949,prefill
1,prefix,0,1.0,4,512,32,argmax,cpu_compute,,cpu,0,1.798102,prefill
1,prefix,0,1.0,4,512,32,embeddings,cpu_compute,,cpu,0,0.194016,decode
1,prefix,0,1.0,4,512,32,block_0,cpu_compute,,cpu,0,15.79814,decode
1,prefix,0,1.0,4,512,32,block_1,cpu_compute,,cpu,0,13.651673,decode
1,prefix,0,1.0,4,512,32,block_2,cpu_compute,,cpu,0,15.858287,decode
1,prefix,0,1.0,4,512,32,block_3,cpu_compute,,cpu,0,18.039998,decode
1,prefix,0,1.0,4,512,32,block_4,cpu_compute,,cpu,0,17.915934,decode
1,prefix,0,1.0,4,512,32,block_5,cpu_compute,,cpu,0,15.575672,decode
1,prefix,0,1.0,4,512,32,block_6,cpu_compute,,cpu,0,16.666745,decode
1,prefix,0,1.0,4,512,32,block_7,cpu_compute,,cpu,0,18.638391,decode
1,prefix,0,1.0,4,512,32,block_8,cpu_compute,,cpu,0,18.828605,decode
1,prefix,0,1.0,4,512,32,block_9,cpu_compute,,cpu,0,16.830857,decode
1,prefix,0,1.0,4,512,32,block_10,cpu_compute,,cpu,0,19.599198,decode
1,prefix,0,1.0,4,512,32,block_11,cpu_compute,,cpu,0,19.775296,decode
1,prefix,0,1.0,4,512,32,final_norm,cpu_compute,,cpu,0,0.056819,decode
1,prefix,0,1.0,4,512,32,lm_head,cpu_compute,,cpu,0,40.800888,decode
1,prefix,0,1.0,4,512,32,argmax,cpu_compute,,cpu,0,1.559545,decode
2,prefix,6,0.5,1,512,32,input_ids,token_copy,cpu,cuda:0,4096,0.074601,prefill
2,prefix,6,0.5,1,512,32,embeddings,gpu_compute,,cuda:0,0,0.204039,prefill
2,prefix,6,0.5,1,512,32,block_0,gpu_compute,,cuda:0,0,4.544215,prefill
2,prefix,6,0.5,1,512,32,block_1,gpu_compute,,cuda:0,0,4.530427,prefill
2,prefix,6,0.5,1,512,32,block_2,gpu_compute,,cuda:0,0,4.541623,prefill
2,prefix,6,0.5,1,512,32,block_3,gpu_compute,,cuda:0,0,4.536228,prefill
2,prefix,6,0.5,1,512,32,block_4,gpu_compute,,cuda:0,0,4.526973,prefill
2,prefix,6,0.5,1,512,32,block_5,gpu_compute,,cuda:0,0,4.512746,prefill
2,prefix,6,0.5,1,512,32,into_block_6,activation_copy,cuda:0,cpu,1572864,0.476903,prefill
2,prefix,6,0.5,1,512,32,block_6,cpu_compute,,cpu,0,92.920039,prefill
2,prefix,6,0.5,1,512,32,block_7,cpu_compute,,cpu,0,91.685937,prefill
