case_index,layout,gpu_layers,cpu_offload_ratio,batch_size,sequence_length,new_tokens,status,activation_boundaries,dtype,placement_prefill_max_abs_error,placement_decode_max_abs_error,placement_argmax_agreement,gpu_baseline_allocated_bytes,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,cpu_parameter_bytes,gpu_parameter_bytes,cpu_buffer_bytes,gpu_buffer_bytes,prefill_ms_median,prefill_ms_p95,prefill_ms_min,prefill_ms_max,prefill_input_tokens_per_s_median,prefill_input_tokens_per_s_p95,prefill_input_tokens_per_s_min,prefill_input_tokens_per_s_max,ttft_ms_median,ttft_ms_p95,ttft_ms_min,ttft_ms_max,generation_ms_median,generation_ms_p95,generation_ms_min,generation_ms_max,decode_ms_median,decode_ms_p95,decode_ms_min,decode_ms_max,decode_tpot_ms_median,decode_tpot_ms_p95,decode_tpot_ms_min,decode_tpot_ms_max,decode_generated_tokens_per_s_median,decode_generated_tokens_per_s_p95,decode_generated_tokens_per_s_min,decode_generated_tokens_per_s_max,generation_generated_tokens_per_s_median,generation_generated_tokens_per_s_p95,generation_generated_tokens_per_s_min,generation_generated_tokens_per_s_max,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,gpu_peak_above_baseline_bytes,profile_prefill_cpu_compute_ms,profile_prefill_gpu_compute_ms,profile_prefill_activation_copy_ms,profile_prefill_token_copy_ms,profile_prefill_activation_fraction,profile_prefill_activation_bytes,profile_decode_cpu_compute_ms,profile_decode_gpu_compute_ms,profile_decode_activation_copy_ms,profile_decode_token_copy_ms,profile_decode_activation_fraction,profile_decode_activation_bytes
0,prefix,12,0.0,1,128,32,ok,0,float32,0.00019073486328125,5.340576171875e-05,1.0,521365504,545143296,595591168,0,497759232,0,12582912,9.774732,14.5218271,9.344225,15.167911,13094.992283541433,13613.422299648104,8438.868081438504,13698.300287075708,9.6386685,12.414037499999996,9.220397,14.252976,277.7829525,355.16825304999986,272.844558,404.033047,268.1243655,343.0003686999999,262.678112,389.780071,8.649173080645161,11.064528022580642,8.473487483870967,12.573550677419355,115.62181539078671,117.3822720627718,79.53202922988845,118.01516222257605,115.2002206888651,116.7899094536251,79.2014421533197,117.28289629291415,0,11722752,159,23777792,0.0,14.786631,0.0,0.151736,0.0,0,0.0,11.968599,0.0,0.056285,0.0,0
1,prefix,0,1.0,4,512,32,ok,0,float32,0.0,0.0,1.0,0,0,0,497759232,0,12582912,0,6773.295067,7853.38551695,6212.551906,7887.622997,303.75914215239095,329.3667309552141,259.6472981503986,329.6551933871279,7405.829326,7868.5929313,6153.999769,7898.99461,12140.1791565,14116.575270399997,11474.915277,15399.456829,4284.367113,7857.367675999997,4263.452309,9102.332492000001,138.20539074193547,253.46347341935476,137.5307196451613,293.6236287741936,28.94243227877177,29.06609278324694,13.62288183924099,29.084411179700613,10.543558800178173,10.978428839770519,8.311981482291799,11.154766454490487,160137216,0,543,0,7661.322549,0.0,0.0,0.0,0.0,0,249.790064,0.0,0.0,0.0,0.0,0
2,prefix,6,0.5,1,512,32,ok,2,float32,0.0001678466796875,6.103515625e-05,1.0,344965120,401068032,411041792,170108928,327650304,6291456,6291456,622.9100985,867.4632396499995,579.731488,1043.485817,821.9780253454021,879.1835744745074,490.6631136319508,883.167484599353,614.740313,724.13994225,587.777264,745.226166,1522.8258885,3217.820217549999,1488.009007,3519.796867,900.5359155,2569.2181086999994,894.6336329999999,2821.428976,29.049545661290324,82.87800350645159,28.8591494516129,91.01383793548388,34.42402768170997,34.62438507307208,10.987340196650763,34.65105586970483,21.013564864870066,21.477372912943846,9.091433741536994,21.505246170865416,20017152,20017152,543,56102912,553.50389,28.399405,0.986332,0.12268699999999999,0.0016917858788142168,3145728,22.654646,5.536591,0.116762,0.043522,0.004118368111538003,6144
3,prefix,3,0.75,1,32,32,ok,2,float32,0.00017547607421875,5.340576171875e-05,1.0,256764928,259474944,289406976,255163392,242595840,9437184,3145728,90.377418,420.0524254999994,86.811082,656.326928,354.0856146598103,365.7498580554372,48.75618938493409,368.6165321611819,90.83054200000001,180.66183759999996,88.831662,197.227792,1051.2810485,2846.201678,1017.194935,2929.253876,959.9072285,2708.0041661,926.504853,2839.3538660000004,30.964749306451615,87.3549731,29.887253322580644,91.5920601935484,32.29866960623448,33.29186925776635,10.91797692820582,33.45908000332946,30.441297449784535,31.335953638061227,10.924283573432403,31.459063448836382,3483648,1161216,63,2710016,211.83256400000002,7.419119,0.223131,2.210361,0.0010065219742366623,196608,25.340319,3.358742,0.14718,0.047082,0.005093910451213937,6144
4,prefix,12,0.0,2,32,32,ok,0,float32,0.00019073486328125,5.340576171875e-05,1.0,521365504,540609024,591396864,0,497759232,0,12582912,9.47392,13.081022849999995,9.086921,15.323394,6756.097370204943,7031.120476842796,4176.620401459363,7043.089733034985,9.484223499999999,10.003060049999998,8.987307,10.134132,293.389837,307.16480955,276.293608,310.864449,283.70734200000004,297.64621909999994,266.84729,301.56722299999996,9.151849741935484,9.601490938709677,8.607977096774194,9.72797493548387,218.535058129798,229.35471170500094,205.59263497943212,232.3426256268145,218.1398856954117,228.79083032290808,205.87751415730398,231.63764251831697,0,9289728,63,19243520,0.0,11.779683,0.0,0.10183500000000001,0.0,0,0.0,9.783418,0.0,0.039968,0.0,0
5,prefix,6,0.5,4,128,32,ok,2,float32,0.0001678466796875,6.103515625e-05,1.0,344965120,397922304,417333248,170108928,327650304,6291456,6291456,536.854734,701.2556670999998,505.318285,801.413986,953.8317548686741,1008.6160429401002,638.8708070288156,1013.2227849225761,537.5574795,849.8070087999994,511.443197,1092.067108,1953.1726565,3739.09681035,1897.69925,3759.046902,1418.06473,2938.6920254499996,1372.795176,3161.002033,45.7440235483871,94.79651694999998,44.28371535483871,101.96780751612904,87.44476265894113,89.96724244610647,39.228067146263676,90.32665773295228,65.53446764429245,67.14684801168364,34.051184605304506,67.45009779605489,23445504,23445504,159,52957184,480.884854,26.388155,1.040929,0.124468,0.0020473060015061095,3145728,36.40238,7.361476,0.172805,0.050223,0.003928557430892354,24576
6,prefix,9,0.25,2,512,32,ok,2,float32,0.0001678466796875,4.57763671875e-05,1.0,433165312,555856896,603979776,85054464,412704768,3145728,9437184,656.4328479999999,1180.29079585,623.872626,1193.128804,1559.9482525505007,1615.8254671377993,858.2476565539357,1641.3606837752168,651.7838200000001,1128.4924812,619.370745,1150.865709,1356.301369,2213.8338426999994,1313.833064,2383.081612,711.6176230000001,1186.40048635,683.145468,1232.215903,22.95540719354839,38.27098343064516,22.03695058064516,39.74890009677419,87.12554722347458,90.16285262024981,50.31585767482178,90.75665858036548,47.18727343405942,48.608710174673334,26.855983310738583,48.712429115728206,20017152,60051456,543,122691584,564.006347,78.965688,1.88646,0.17651899999999998,0.00292458542413327,6291456,13.936143000000001,11.494669,0.161583,0.04922,0.00630159215790425,12288
7,prefix,9,0.25,2,32,32,ok,2,float32,0.0001678466796875,4.57763671875e-05,1.0,433165312,447800832,499122176,85054464,412704768,3145728,9437184,50.422599,71.44395444999996,48.211462,87.156577,1269.296088281591,1320.3705402516637,734.310618922081,1327.4851528045344,50.8309115,79.52604609999995,48.482902,102.186724,598.2150220000001,1557.6158841499991,553.740197,1888.947596,546.4368455000001,1484.1299371999994,505.25729499999994,1838.944103,17.626995016129033,47.87515926451611,16.298622419354835,59.320777516129034,113.46618049140599,121.94397018605827,33.714999764731836,122.70975721389635,106.98787182407486,114.61543863496819,33.881299902403434,115.57766683136424,2322432,6967296,63,14635520,64.106753,14.828745,0.261262,0.112051,0.003294236752584779,393216,9.107091,12.705248000000001,0.119508,0.063279,0.005433385560055442,12288
8,prefix,12,0.0,2,512,32,ok,0,float32,0.00019073486328125,5.340576171875e-05,1.0,521365504,687073792,746586112,0,497759232,0,12582912,74.1433445,75.35318115,69.523866,76.023507,13811.095578045406,14378.390245794177,13469.518053146377,14728.755158696153,97.643294,100.42441665,95.04674,101.45103,380.9319875,469.63096690000003,365.677987,470.527735,282.5458615,371.28266965,269.468447,371.963323,9.11438262903226,11.976860311290322,8.692530548387097,11.998816870967742,219.4595626725067,229.64185315906167,166.68310063462897,230.0825966462782,168.0517822207665,174.68349011813189,136.0174868331619,175.01737122612198,0,80068608,543,165708288,0.0,74.824397,0.0,0.138868,0.0,0,0.0,16.294456,0.0,0.10162,0.0,0
9,prefix,3,0.75,1,512,32,ok,2,float32,0.00017547607421875,5.340576171875e-05,1.0,256764928,300809216,312475648,255163392,242595840,9437184,3145728,886.769041,1085.0497000999997,842.157901,1236.090185,577.3771112122542,603.1097851134634,414.2092593349085,607.9619978534167,894.027753,1724.3534992999994,841.093529,1956.767522,2102.940787,3960.04464185,2059.665913,3960.416201,1210.998706,2828.476930149999,1173.938622,3080.765458,39.06447438709678,91.24119129516126,37.86898780645161,99.3795309032258,25.5987481079801,26.2756978617466,10.062434295184831,26.406832026010303,15.216798146781393,15.536296076530185,8.079958866929198,15.536500263477441,30025728,10008576,543,44044288,865.464727,14.869461,1.033984,0.13579799999999997,0.0011729771336140438,3145728,32.991464,3.349586,0.114042,0.041538,0.0031247268583428113,6144
