batch_size,sequence_length,new_tokens,gpu_layers,layout,gpu_parameter_bytes,cpu_parameter_bytes,gpu_buffer_bytes,final_kv_gpu_bytes,final_cached_positions,payload_floor_bytes,predicted_overhead_mib,predicted_peak_mib,case_index,actual_peak_mib,guarded_peak_mib,fold,held_out_group
1,128,32,0,prefix,0,497759232,0,0,159,0,0.0,0.0,14,0.0,0.0,0,1/128/32
1,128,32,3,prefix,242595840,255163392,3145728,2930688,159,248672256,19.533964724211497,256.6863084742115,31,255.74609375,285.52062389792206,0,1/128/32
1,128,32,6,prefix,327650304,170108928,6291456,5861376,159,339803136,20.43842937382899,344.49995281132897,20,342.1103515625,377.72495045189544,0,1/128/32
1,128,32,9,prefix,412704768,85054464,9437184,8792064,159,430934016,21.342894023446476,432.3135971484465,13,430.20263671875,469.9292770058688,0,1/128/32
1,128,32,12,prefix,497759232,0,12582912,11722752,159,522064896,22.247358673063967,520.127241485564,0,519.88916015625,562.1336035598422,0,1/128/32
1,32,32,0,prefix,0,497759232,0,0,63,0,0.0,0.0,23,0.0,0.0,1,1/32/32
1,32,32,3,prefix,242595840,255163392,3145728,1161216,63,246902784,14.750013675282595,250.2148574252826,3,247.45458984375,278.7256002965467,1,1/32/32
1,32,32,6,prefix,327650304,170108928,6291456,2322432,63,336264192,15.108398368494518,335.79492180599453,10,335.26611328125,368.58466789629426,1,1/32/32
1,32,32,9,prefix,412704768,85054464,9437184,3483648,63,425625600,15.46678306170644,421.37498618670645,16,420.07763671875,458.44373549604177,1,1/32/32
1,32,32,12,prefix,497759232,0,12582912,4644864,63,514987008,15.825167754918361,506.95505056741837,33,506.38916015625,548.3028030957893,1,1/32/32
1,512,32,0,prefix,0,497759232,0,0,543,0,0.0,0.0,38,0.0,0.0,2,1/512/32
1,512,32,3,prefix,242595840,255163392,3145728,10008576,543,255750144,38.93328766835329,282.8356314183533,9,286.8740234375,312.97741298927093,2,1/512/32
1,512,32,6,prefix,327650304,170108928,6291456,20017152,543,353958912,41.931601337001155,379.49312477450115,2,382.48828125,414.4677810132262,2,1/512/32
1,512,32,9,prefix,412704768,85054464,9437184,30025728,543,452167680,44.92991500564902,476.15061813064904,27,478.21044921875,515.9581490371816,2,1/512/32
1,512,32,12,prefix,497759232,0,12582912,40034304,543,550376448,47.92822867429689,572.8081114867969,21,584.35595703125,617.4485170611367,2,1/512/32
2,128,32,0,prefix,0,497759232,0,0,159,0,0.0,0.0,30,0.0,0.0,3,2/128/32
2,128,32,3,prefix,242595840,255163392,3145728,5861376,159,251602944,26.346773305737763,266.29403893073777,22,263.6220703125,295.60874087727467,3,2/128/32
2,128,32,6,prefix,327650304,170108928,6291456,11722752,159,345664512,28.125424844042417,357.7767920315424,26,352.236328125,391.6656316331196,3,2/128/32
2,128,32,9,prefix,412704768,85054464,9437184,17584128,159,439726080,29.904076382347075,449.25954513234706,29,447.30615234375,487.7225223889644,3,2/128/32
2,128,32,12,prefix,497759232,0,12582912,23445504,159,533787648,31.682727920651725,540.7422982331517,28,544.06494140625,583.7794131448093,3,2/128/32
2,32,32,0,prefix,0,497759232,0,0,63,0,0.0,0.0,44,0.0,0.0,4,2/32/32
2,32,32,3,prefix,242595840,255163392,3145728,2322432,63,248064000,16.623594808063174,253.19586043306316,19,250.03857421875,281.85565345471633,4,2/32/32
2,32,32,6,prefix,327650304,170108928,6291456,4644864,63,338586624,17.337623523388043,340.23899071088806,34,338.54736328125,373.2509402464325,4,2/32/32
2,32,32,9,prefix,412704768,85054464,9437184,6967296,63,429109248,18.051652238712908,427.2821209887129,7,427.05615234375,464.6462270381486,4,2/32/32
2,32,32,12,prefix,497759232,0,12582912,9289728,63,519631872,18.765680954037773,514.3252512665377,4,515.56494140625,556.0415138298647,4,2/32/32
2,512,32,0,prefix,0,497759232,0,0,543,0,0.0,0.0,42,0.0,0.0,5,2/512/32
2,512,32,3,prefix,242595840,255163392,3145728,20017152,543,265758720,68.05409347703745,321.50135910203744,15,325.8779296875,353.5764270571393,5,2/512/32
2,512,32,6,prefix,327650304,170108928,6291456,40034304,543,373976064,74.31460426362484,430.96597145112486,17,427.9921875,468.5142700236811,5,2/512/32
2,512,32,9,prefix,412704768,85054464,9437184,60051456,543,482193408,80.57511505021225,540.4305838002123,6,530.1064453125,583.4521129902229,5,2/512/32
2,512,32,12,prefix,497759232,0,12582912,80068608,543,590410752,86.83562583679965,649.8951961492996,8,655.24462890625,698.3899559567647,5,2/512/32
4,128,32,0,prefix,0,497759232,0,0,159,0,0.0,0.0,25,0.0,0.0,6,4/128/32
4,128,32,3,prefix,242595840,255163392,3145728,11722752,159,257464320,35.62504257002079,281.1621519450208,11,283.3740234375,311.2202595422719,6,4/128/32
4,128,32,6,prefix,327650304,170108928,6291456,23445504,159,357387264,39.01993948143312,379.85099416893314,5,379.48828125,414.84354387737983,6,4/128/32
4,128,32,9,prefix,412704768,85054464,9437184,35168256,159,457310208,42.41483639284545,478.5398363928455,36,483.29345703125,518.4668282124878,6,4/128/32
4,128,32,12,prefix,497759232,0,12582912,46891008,159,557233152,45.80973330425778,577.2286786167577,40,590.43896484375,622.0901125475957,6,4/128/32
4,32,32,0,prefix,0,497759232,0,0,63,0,0.0,0.0,39,0.0,0.0,7,4/32/32
4,32,32,3,prefix,242595840,255163392,3145728,4644864,63,250386432,19.613731971988642,258.4008413469886,12,255.74609375,287.3208834143381,7,4/32/32
4,32,32,6,prefix,327650304,170108928,6291456,9289728,63,343231488,21.02015148505902,348.35120617255905,37,348.10888671875,381.768766481187,7,4/32/32
4,32,32,9,prefix,412704768,85054464,9437184,13934592,63,436076544,22.426570998129403,438.3015709981294,18,441.01220703125,476.2166495480359,7,4/32/32
4,32,32,12,prefix,497759232,0,12582912,18579456,63,528921600,23.832990511199785,528.2519358236998,24,533.91552734375,570.6645326148848,7,4/32/32
4,512,32,0,prefix,0,497759232,0,0,543,0,0.0,0.0,1,0.0,0.0,8,4/512/32
4,512,32,3,prefix,242595840,255163392,3145728,40034304,543,285775872,118.95952525250807,391.49663462750806,43,406.8857421875,427.07146635888347,8,4/512/32
4,512,32,6,prefix,327650304,170108928,6291456,80068608,543,414010368,136.1463919675515,530.9774466550515,41,527.0,573.5263189878041,8,4/512/32
4,512,32,9,prefix,412704768,85054464,9437184,120102912,543,542244864,153.3332586825949,670.4582586825949,35,647.1142578125,719.9811716167246,8,4/512/32
4,512,32,12,prefix,497759232,0,12582912,160137216,543,670479360,170.52012539763828,809.9390707101383,32,808.60693359375,866.4360242456452,8,4/512/32
