fold,held_out_group,batch_size,sequence_length,new_tokens,budget_mib,policy,prediction_extrapolates_from_fold_range,oracle_gpu_layers,oracle_generation_ms,selected_gpu_layers,actual_selected_peak_mib,actual_selected_generation_ms,regret_pct,budget_excess_mib,matches_oracle,status
0,1/128/32,1,128,32,256,max_gpu,False,3,1271.5206315,0,0.0,1946.9361745,53.118724641000846,0.0,False,feasible
0,1/128/32,1,128,32,256,compute,False,3,1271.5206315,0,0.0,1946.9361745,53.118724641000846,0.0,False,feasible
0,1/128/32,1,128,32,256,compute_transfer,False,3,1271.5206315,0,0.0,1946.9361745,53.118724641000846,0.0,False,feasible
0,1/128/32,1,128,32,320,max_gpu,False,3,1271.5206315,3,255.74609375,1271.5206315,0.0,0.0,True,feasible
0,1/128/32,1,128,32,320,compute,False,3,1271.5206315,3,255.74609375,1271.5206315,0.0,0.0,True,feasible
0,1/128/32,1,128,32,320,compute_transfer,False,3,1271.5206315,3,255.74609375,1271.5206315,0.0,0.0,True,feasible
0,1/128/32,1,128,32,384,max_gpu,False,6,908.5480755,6,342.1103515625,908.5480755,0.0,0.0,True,feasible
0,1/128/32,1,128,32,384,compute,False,6,908.5480755,6,342.1103515625,908.5480755,0.0,0.0,True,feasible
0,1/128/32,1,128,32,384,compute_transfer,False,6,908.5480755,6,342.1103515625,908.5480755,0.0,0.0,True,feasible
0,1/128/32,1,128,32,448,max_gpu,False,9,611.8195995,6,342.1103515625,908.5480755,48.49934134874017,0.0,False,feasible
0,1/128/32,1,128,32,448,compute,False,9,611.8195995,6,342.1103515625,908.5480755,48.49934134874017,0.0,False,feasible
0,1/128/32,1,128,32,448,compute_transfer,False,9,611.8195995,6,342.1103515625,908.5480755,48.49934134874017,0.0,False,feasible
0,1/128/32,1,128,32,512,max_gpu,False,9,611.8195995,9,430.20263671875,611.8195995,0.0,0.0,True,feasible
0,1/128/32,1,128,32,512,compute,False,9,611.8195995,9,430.20263671875,611.8195995,0.0,0.0,True,feasible
0,1/128/32,1,128,32,512,compute_transfer,False,9,611.8195995,9,430.20263671875,611.8195995,0.0,0.0,True,feasible
0,1/128/32,1,128,32,640,max_gpu,False,12,277.7829525,12,519.88916015625,277.7829525,0.0,0.0,True,feasible
