case_id,workload_id,kind,batch_size,sequence_length,new_tokens,gpu_layers,layout,block,trial,prefill_ms,prefill_input_tokens_per_s,ttft_ms,generation_ms,decode_ms,decode_tpot_ms,decode_generated_tokens_per_s,generation_generated_tokens_per_s,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,decode_step_ms_json
B1_S64_N32_G0,B1_S64_N32,primary,1,64,32,0,prefix,0,0,161.311515,396.747870107103,164.596241,1623.574525,1458.978284,47.06381561290323,21.24774600140656,19.70959725424369,7004160,0,95,"[45.149617, 45.558366, 47.810724, 45.114448, 45.284796, 45.301395, 73.890396, 45.617506, 44.811953, 43.778458, 45.013687, 44.844843, 44.348423, 44.33786, 44.848688, 45.161709, 44.040054, 44.180655, 44.409466, 44.891082, 44.044789, 45.055478, 45.141533, 46.887512, 49.492529, 44.899772, 45.503844, 44.617495, 48.857325, 71.09727, 44.982758]"
B1_S64_N32_G0,B1_S64_N32,primary,1,64,32,0,prefix,0,1,162.939063,392.78487811115,160.446007,1591.744733,1431.298726,46.17092664516129,21.658651291218995,20.10372601622424,7004160,0,95,"[45.208407, 44.430127, 44.589995, 44.439444, 44.169717, 44.904632, 45.32697, 48.379261, 44.734648, 46.700597, 46.264402, 50.046503, 45.166393, 71.798543, 44.713832, 45.121024, 44.24011, 44.701342, 44.628788, 44.875604, 44.910841, 45.395744, 44.659505, 44.75492, 44.244532, 43.899285, 44.098957, 44.484609, 47.822596, 47.545946, 45.037285]"
B1_S64_N32_G0,B1_S64_N32,primary,1,64,32,0,prefix,0,2,165.618943,386.42922627516106,197.70361,1654.191922,1456.488312,46.98349393548387,21.284070558336207,19.34479281056482,7004160,0,95,"[45.233663, 44.405703, 43.455463, 44.27137, 44.037613, 44.567419, 44.700938, 44.950045, 44.378262, 44.540855, 63.262128, 60.667791, 44.369706, 46.441319, 47.534402, 48.927519, 44.908475, 45.216514, 45.083938, 61.550432, 56.569371, 45.67908, 44.724091, 44.071741, 44.044855, 44.71409, 44.69083, 44.927002, 45.010313, 44.628318, 44.921194]"
B1_S64_N32_G0,B1_S64_N32,primary,1,64,32,0,prefix,0,3,168.675855,379.4259705990522,288.970257,3417.609453,3128.639196,100.92384503225809,9.908461173673794,9.363269981568603,7004160,0,95,"[100.599461, 93.132428, 121.153272, 215.822941, 234.091429, 479.950902, 158.539347, 83.74474, 85.522445, 135.285031, 200.902506, 81.748061, 78.393502, 267.381249, 54.717695, 45.048058, 44.467773, 45.526724, 45.440173, 44.837325, 50.777012, 44.074607, 47.012716, 44.361731, 50.57913, 49.670176, 46.471807, 45.387164, 45.025052, 44.532724, 44.438421]"
B1_S64_N32_G0,B1_S64_N32,primary,1,64,32,0,prefix,0,4,192.126697,333.11351831546864,161.311718,1690.884684,1529.5729660000002,49.341063419354846,20.267094600310813,18.92500434997139,7004160,0,95,"[44.913699, 62.26349, 48.611896, 49.74441, 51.130695, 49.468521, 44.657148, 74.264504, 71.207673, 45.560496, 45.23314, 45.081415, 44.675546, 44.806655, 44.640672, 45.014073, 74.475957, 45.049264, 44.632007, 43.671958, 45.037325, 45.147266, 45.297746, 47.425976, 46.100922, 47.753522, 45.991999, 48.161356, 48.846855, 45.759296, 44.943712]"
B1_S64_N32_G0,B1_S64_N32,primary,1,64,32,0,prefix,1,0,203.966827,313.776514256409,156.751735,3359.167182,3202.4154470000003,103.3037240967742,9.680193127047453,9.526170704295716,7004160,0,95,"[44.600329, 43.971436, 43.139477, 63.92368, 101.723988, 76.029074, 84.438611, 163.058197, 447.241957, 196.421532, 298.69356, 90.719533, 86.662766, 80.040402, 103.369581, 84.996368, 231.544174, 119.004913, 78.119416, 87.457668, 96.7223, 79.003712, 84.207952, 78.550024, 68.774427, 44.343133, 44.449884, 43.64755, 44.820317, 44.870802, 47.863666]"
B1_S64_N32_G0,B1_S64_N32,primary,1,64,32,0,prefix,1,1,162.042205,394.9588318672904,157.425118,1594.899077,1437.473959,46.37012770967742,21.56560806260839,20.06396546431759,7004160,0,95,"[46.062007, 44.393465, 44.355119, 44.121, 43.940639, 44.414771, 46.437509, 44.559469, 44.289113, 70.117738, 44.25137, 44.195552, 43.973372, 44.497133, 49.23062, 44.743788, 44.675465, 45.413029, 45.445016, 44.69826, 49.158479, 48.420791, 51.001797, 45.587916, 45.838054, 45.889067, 45.389549, 47.353345, 44.44975, 45.81561, 44.751567]"
B1_S64_N32_G0,B1_S64_N32,primary,1,64,32,0,prefix,1,2,189.566534,337.6123340420414,167.965256,1608.207528,1440.242272,46.459428129032254,21.52415645803236,19.897929491597303,7004160,0,95,"[46.658962, 45.667099, 45.10155, 44.506737, 44.793816, 48.405532, 44.6539, 44.515757, 44.307499, 44.912258, 47.589778, 44.183077, 46.012418, 52.561347, 44.709112, 57.652053, 54.547047, 44.125333, 48.744168, 44.890016, 45.546926, 45.293551, 45.638066, 46.22974, 45.343482, 45.32127, 44.224218, 48.574336, 45.199359, 45.247505, 45.082364]"
B1_S64_N32_G0,B1_S64_N32,primary,1,64,32,0,prefix,1,3,166.901997,383.4585634107182,159.517134,1631.030605,1471.513471,47.46817648387097,21.06674564041419,19.619496962167677,7004160,0,95,"[82.448, 50.224679, 47.416633, 46.65272, 47.235769, 44.424757, 44.592068, 43.72283, 43.195943, 43.505403, 47.201962, 42.909163, 43.737105, 43.760321, 45.40332, 46.564627, 44.522557, 44.561691, 45.320972, 45.113912, 44.138287, 45.642653, 63.826943, 55.271807, 45.662427, 45.859992, 46.292557, 45.973345, 45.159324, 45.621135, 45.546457]"
B1_S64_N32_G0,B1_S64_N32,primary,1,64,32,0,prefix,1,4,166.074178,385.3699640169226,161.978068,1611.937991,1449.959923,46.77290074193548,21.379901270553948,19.851880270002276,7004160,0,95,"[43.832589, 44.412968, 44.639712, 44.700264, 45.436073, 43.802188, 47.626691, 68.884514, 44.414377, 45.228902, 44.917626, 45.186935, 45.87167, 44.15432, 44.199162, 49.961318, 45.073117, 46.135362, 45.613843, 46.909161, 44.995514, 45.144835, 44.466575, 44.663896, 44.728819, 44.31856, 43.958053, 43.741734, 48.272256, 63.294034, 51.370765]"
B1_S64_N32_G3,B1_S64_N32,primary,1,64,32,3,prefix,0,0,128.989967,496.16262015168974,117.582393,1011.583852,894.001459,28.838756741935484,34.67555862232659,31.633561505289823,5253120,1751040,95,"[26.879789, 26.975043, 26.900355, 26.738839, 31.030789, 27.027443, 27.231238, 27.277022, 27.518301, 27.819691, 29.76261, 28.113736, 27.595908, 27.163492, 27.429549, 27.558665, 27.411584, 27.192415, 47.569345, 35.214983, 27.517935, 29.954371, 31.180471, 27.771125, 28.118958, 28.415978, 28.248718, 28.106029, 27.994758, 28.141679, 28.103896]"
