case_id,workload_id,kind,batch_size,sequence_length,new_tokens,gpu_layers,layout,trials,gpu_peak_mib,prefill_ms_median,prefill_ms_min,prefill_ms_max,ttft_ms_median,ttft_ms_min,ttft_ms_max,decode_tpot_ms_median,decode_tpot_ms_min,decode_tpot_ms_max,generation_ms_median,generation_ms_min,generation_ms_max,pooled_generation_tokens_s
B1_S64_N32_G0,B1_S64_N32,primary,1,64,32,0,prefix,10,0.0,166.4880875,161.311515,203.966827,161.64489300000002,156.751735,288.970257,47.023654774193545,46.17092664516129,103.3037240967742,1627.302565,1591.744733,3417.609453,16.175301692249448
B1_S64_N32_G3,B1_S64_N32,primary,1,64,32,3,prefix,10,249.55810546875,123.2899625,113.344267,228.17096,117.4444285,113.501225,630.59412,28.794273903225807,27.36983867741936,85.034106,1010.0669195,964.711934,2750.460326,23.650926938795145
B1_S64_N32_G6,B1_S64_N32,primary,1,64,32,6,prefix,10,336.01611328125,79.3068315,76.856741,84.450241,80.5874225,76.254558,107.257061,21.593764403225805,21.073416677419356,22.887976064516128,755.2880190000001,741.719403,786.635803,42.266853398278855
B1_S64_N32_G9,B1_S64_N32,primary,1,64,32,9,prefix,10,423.45263671875,46.061616,43.321829,392.021512,46.377185499999996,43.195732,456.933165,14.973149709677418,14.51824641935484,46.61708196774194,509.61485100000004,497.212525,1902.062706,49.21655390749924
B1_S64_N32_G12,B1_S64_N32,primary,1,64,32,12,prefix,10,510.88916015625,8.566296,8.446149,10.326277,8.457199500000002,8.246833,8.824128,7.805268725806451,7.626749677419355,8.637220322580644,250.5540765,245.037509,276.0244,125.65451498043409
B1_S256_N32_G0,B1_S256_N32,primary,1,256,32,0,prefix,10,0.0,541.008587,510.894147,1295.828769,542.8687035,530.434521,818.634578,51.181925774193544,49.24468593548387,108.81927806451614,2161.710074,2065.692735,3918.27339,12.437359844436456
B1_S256_N32_G3,B1_S256_N32,primary,1,256,32,3,prefix,10,263.6220703125,382.9577275,359.757481,757.973811,405.364609,354.296789,753.101797,31.447387403225807,30.57464048387097,79.48782477419354,1387.0498175,1324.800601,3217.224365,18.947348829493944
B1_S256_N32_G6,B1_S256_N32,primary,1,256,32,6,prefix,10,352.236328125,255.79404449999998,247.496942,283.973383,253.4685145,243.493236,277.12588,23.615641129032255,23.00263448387097,23.944500967741934,987.719869,963.891316,997.772808,32.520075843011945
B1_S256_N32_G9,B1_S256_N32,primary,1,256,32,9,prefix,10,443.70263671875,140.005918,136.205941,309.250358,140.690054,135.511215,541.737998,15.957764112903224,15.476851870967742,49.90302287096774,646.0653655000001,623.015769,2088.731707,37.378358866474116
B1_S256_N32_G12,B1_S256_N32,primary,1,256,32,12,prefix,10,537.88916015625,13.8634635,13.593573,15.608978,14.0760635,13.638374,15.257278,7.786159451612903,7.625072064516129,10.939687612903226,255.4976815,251.487466,354.387594,119.97157648406387
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,10,0.0,407.56582449999996,375.500593,926.718917,380.8694855,374.150019,1194.064946,51.90723333870968,50.34998206451613,108.17771893548388,1997.1184575,1951.586373,3732.513754,41.86785372994391
B3_S64_N32_G3,B3_S64_N32,primary,3,64,32,3,prefix,10,258.93408203125,273.657043,265.51584,686.630682,273.695248,260.34437,1033.973931,33.277078,32.59901835483871,86.22218567741936,1314.0105825,1270.913939,3120.953626,59.1907791851476
B3_S64_N32_G6,B3_S64_N32,primary,3,64,32,6,prefix,10,350.07763671875,191.7161785,184.199404,229.12122,191.361206,181.946269,215.330202,25.23754919354839,24.416971,26.058191419354834,971.9132885,953.742379,1001.839359,98.73857020979013
B3_S64_N32_G9,B3_S64_N32,primary,3,64,32,9,prefix,10,444.15869140625,105.606244,101.787461,175.714151,108.09325849999999,100.503439,366.980998,17.6683855,16.91107041935484,54.21595574193548,659.0200555,626.240077,1782.912004,118.46370081572998
B3_S64_N32_G12,B3_S64_N32,primary,3,64,32,12,prefix,10,538.23974609375,11.220030000000001,11.096246,14.931247,11.2965925,11.149111,16.479381,8.520537516129032,8.387680193548388,11.983704612903226,275.76109399999996,271.307584,387.974224,332.4471503198378
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,10,0.0,1625.011589,1550.143495,1694.448284,1609.85837,1586.65741,1720.921284,65.93662075806452,65.06090729032258,122.09425322580648,3712.043812,3613.298784,5401.699002,22.070595848310305
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,10,301.1259765625,1181.9478475,1117.792393,1381.121711,1257.3842439999999,1116.24413,2538.658779,44.226323354838705,42.20806596774193,93.66643067741936,2601.4786919999997,2427.143405,4351.810536,30.26427568477006
B3_S256_N32_G6,B3_S256_N32,primary,3,256,32,6,prefix,10,398.740234375,813.5613515,683.10282,1232.796239,784.5990915,672.868291,1147.151315,32.159394887096774,30.93344422580645,78.53544209677419,1845.3444425,1640.92034,3581.75002,46.79856405842414
B3_S256_N32_G9,B3_S256_N32,primary,3,256,32,9,prefix,10,505.81884765625,464.35402250000004,375.385267,661.550825,456.013277,379.90963,779.566098,20.457150370967746,19.65284251612903,61.63272203225806,1091.084104,1007.549244,2690.180481,70.52470251432338
B3_S256_N32_G12,B3_S256_N32,primary,3,256,32,12,prefix,10,619.23974609375,42.05679,40.755024,42.584169,58.033857499999996,54.475714,60.416298,8.466370983870968,8.338637870967741,8.83356035483871,321.334485,315.313407,332.527599,298.23698992825854
B1_S128_N32_G0,B1_S128_N32,historical_control,1,128,32,0,prefix,10,0.0,281.309273,254.040546,314.134662,265.99362199999996,256.581777,285.96072,47.46414656451613,46.82591780645161,105.32201551612904,1741.653953,1709.420255,3550.943201,15.274628797762146
B1_S128_N32_G6,B1_S128_N32,historical_control,1,128,32,6,prefix,10,342.1103515625,135.03083900000001,129.929954,606.604992,132.749067,127.610933,645.109113,21.90410072580645,21.180170032258065,41.07595916129032,813.460285,787.387547,1918.463847,34.725701190370835
