case_index,batch_size,sequence_length,new_tokens,gpu_layers,layout,prefill_ms_median,prefill_input_tokens_per_s_median,ttft_ms_median,generation_ms_median,decode_ms_median,decode_tpot_ms_median,decode_generated_tokens_per_s_median,generation_generated_tokens_per_s_median,repeats,generation_p95_over_median,pooled_generation_tokens_per_s,workload_group,gpu_peak_allocated_bytes,gpu_parameter_bytes,gpu_buffer_bytes,cpu_parameter_bytes,final_kv_gpu_bytes,final_cached_positions
23,1,32,32,0,prefix,125.7883665,254.3980920828747,123.3507385,1669.9454185,1547.559138,49.92126251612903,20.032192786592613,19.162936273202615,10,2.1072396672466454,15.726785237659158,B1_S32_N32,0,0,0,497759232,0,63
3,1,32,32,3,prefix,90.377418,354.0856146598103,90.83054200000001,1051.2810485,959.9072285,30.964749306451615,32.29866960623448,30.441297449784535,10,2.7073651542192714,22.394963941441652,B1_S32_N32,259474944,242595840,3145728,255163392,1161216,63
10,1,32,32,6,prefix,60.695328,527.264570498659,61.2956985,763.9714449999999,702.6757465,22.666959564516127,44.122948126473915,41.89030602467637,10,2.234803299421746,33.99318492518548,B1_S32_N32,351552000,327650304,6291456,170108928,2322432,63
16,1,32,32,9,prefix,35.771779,894.5663413284033,35.886399999999995,532.0402265,495.231936,15.975223741935482,62.6077459036518,60.150758954177704,10,2.196856501037518,49.71181739436661,B1_S32_N32,440483328,412704768,9437184,85054464,3483648,63
33,1,32,32,12,prefix,9.6558385,3316.7544118907194,9.444707000000001,276.9906495,267.58054,8.631630322580644,116.05402850441027,115.72136742029468,10,1.5033022674290668,101.91037647163445,B1_S32_N32,530987520,497759232,12582912,0,4644864,63
14,1,128,32,0,prefix,305.2994565,419.26077890328406,316.74072,1946.9361745,1630.379284,52.59288012903225,19.014540022401377,16.43637463372191,10,1.7480330103908086,14.216742860792078,B1_S128_N32,0,0,0,497759232,0,159
31,1,128,32,3,prefix,229.934416,556.6835409794065,227.3373885,1271.5206315,1042.2882610000001,33.62220196774194,29.74225189870497,25.166757163209198,10,2.5607942723735504,19.14699717023196,B1_S128_N32,268169216,242595840,3145728,255163392,2930688,159
20,1,128,32,6,prefix,152.512608,839.2797865834717,174.714333,908.5480755,732.8276575,23.63960185483871,42.302008318696394,35.22211675695415,10,2.119732736861649,29.03860506960263,B1_S128_N32,358728704,327650304,6291456,170108928,5861376,159
13,1,128,32,9,prefix,82.7410555,1547.0048221850257,82.506283,611.8195995,513.0779755000001,16.550902435483874,60.43535420375336,52.303409259417805,10,1.0538974448137142,52.62182274891702,B1_S128_N32,451100160,412704768,9437184,85054464,8792064,159
0,1,128,32,12,prefix,9.774732,13094.992283541433,9.6386685,277.7829525,268.1243655,8.649173080645161,115.62181539078672,115.2002206888651,10,1.2785818922779282,108.71497844006166,B1_S128_N32,545143296,497759232,12582912,0,11722752,159
38,1,512,32,0,prefix,1276.4605395,401.14370543272037,1285.2239100000002,3243.054462,1964.9887765000003,63.386734725806456,15.777077500089813,9.867301187550737,10,1.548914280999207,8.38998771117661,B1_S512_N32,0,0,0,497759232,0,543
