case_id,workload_id,kind,batch_size,sequence_length,new_tokens,gpu_layers,layout,block,trial,prefill_ms,prefill_input_tokens_per_s,ttft_ms,generation_ms,decode_ms,decode_tpot_ms,decode_generated_tokens_per_s,generation_generated_tokens_per_s,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,decode_step_ms_json,cpu_threads
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,1,0,412.240405,465.747650330394,396.654544,2199.733762,1803.079218,58.16384574193548,51.57843264543688,43.64164502922241,21012480,0,95,"[57.91711, 56.508901, 53.85748, 56.731903, 54.328691, 54.975442, 59.243644, 61.025607, 59.247126, 55.683227, 56.086136, 56.639769, 60.327165, 56.864096, 56.526085, 56.880478, 56.366821, 56.07512, 57.931271, 55.984035, 75.886166, 64.85297, 59.734167, 58.636985, 56.076234, 66.811464, 57.740332, 55.653794, 56.287762, 55.91687, 56.278697]",1
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,1,1,399.437102,480.6764295020346,414.282163,2220.129196,1805.847033,58.253130096774186,51.49937857444208,43.24072678876658,21012480,0,95,"[56.586313, 56.551485, 56.60707, 56.334857, 57.265373, 55.836204, 56.375458, 57.402228, 57.303763, 56.353658, 58.281795, 57.228489, 61.069793, 57.997343, 58.465984, 59.809477, 63.770139, 59.041797, 58.558721, 58.450728, 59.351368, 60.013541, 58.420769, 59.381909, 60.163034, 59.911374, 57.993693, 56.927022, 56.492081, 61.119656, 56.777768]",1
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,1,2,415.715378,461.854456584476,401.220862,2188.378989,1787.1581269999997,57.65026216129032,52.03792467771936,43.86808705555526,21012480,0,95,"[59.080678, 55.228165, 55.710155, 56.702275, 56.839422, 55.527686, 56.173105, 63.897446, 56.642745, 57.042132, 56.466797, 57.109916, 56.259073, 56.441918, 58.662551, 57.265651, 57.915893, 55.384307, 56.350437, 61.226293, 56.911346, 56.583173, 57.904278, 56.243561, 57.173558, 63.126718, 60.243041, 58.282527, 59.153062, 57.578777, 58.027463]",1
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,1,3,415.033471,462.6132912542853,554.237868,2618.523133,2064.285265,66.58984725806451,45.05191291960319,36.66188730210465,21012480,0,95,"[63.835437, 63.307748, 61.662703, 62.858268, 61.345117, 67.110619, 60.996197, 66.109375, 63.851134, 61.645138, 62.69359, 62.518483, 61.48949, 75.03725, 76.58044, 63.089309, 64.025111, 61.852046, 68.61856, 69.62523, 72.880904, 68.62539, 64.299335, 64.987592, 67.695061, 62.622593, 67.590784, 68.964112, 72.601151, 83.871643, 71.890513]",1
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,1,4,493.115029,389.3614850663982,397.445893,2207.913603,1810.46771,58.40218419354839,51.36794182316569,43.47996220031441,21012480,0,95,"[58.341196, 61.54498, 62.909814, 56.906709, 57.828645, 57.1117, 62.569907, 55.965254, 54.482313, 54.66677, 57.166547, 56.041982, 56.528778, 55.859518, 56.113648, 56.239905, 56.811196, 57.308739, 59.047472, 62.178538, 65.353924, 58.529678, 59.728737, 62.495, 58.046114, 56.512287, 56.965959, 59.308346, 58.795206, 59.517221, 59.587409]",1
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,2,0,398.137024,482.24603195908753,390.116535,2169.543437,1779.4269019999997,57.4008678064516,52.264018204665774,44.24894121168039,21012480,0,95,"[53.918009, 56.493129, 63.326542, 56.725907, 55.098451, 55.397031, 55.594581, 54.379272, 53.118702, 54.389319, 55.609498, 60.385972, 67.272181, 56.060206, 58.295638, 55.685936, 55.972789, 54.116392, 58.412933, 58.331213, 68.66376, 62.784049, 57.483792, 57.208415, 58.391763, 56.933153, 55.960763, 55.954469, 56.481147, 55.511808, 55.466672]",1
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,2,1,381.609629,503.1319584443714,409.037684,2125.488017,1716.4503330000002,55.369365580645166,54.18158522388191,45.16609796535023,21012480,0,95,"[53.663398, 53.218005, 51.771492, 52.394172, 54.441357, 55.328419, 54.100929, 53.299512, 53.427701, 55.237233, 56.521196, 55.186548, 53.950954, 62.801814, 54.118591, 56.162344, 55.332658, 56.324042, 56.53639, 55.778317, 54.862489, 54.609974, 56.210784, 56.950896, 55.72268, 54.873255, 54.871005, 57.621777, 57.46585, 56.731907, 56.930675]",1
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,2,2,407.024016,471.7166369858628,410.325725,2395.498427,1985.172702,64.03782909677419,46.84730950929628,40.07516720444083,21012480,0,95,"[60.91664, 74.01582, 71.332463, 67.805135, 73.564531, 62.604151, 61.160979, 68.642001, 60.686585, 65.15806, 61.339266, 60.553728, 61.818886, 61.644919, 60.150184, 64.971633, 61.006402, 65.831405, 59.36388, 59.480412, 63.253578, 66.07962, 62.335776, 60.057464, 60.557281, 61.127753, 61.98556, 61.707395, 66.009311, 69.885128, 70.122106]",1
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,2,3,553.566523,346.8417832774184,548.444278,2279.750847,1731.306569,55.84859899999999,53.71665634799541,42.10986482418884,21012480,0,95,"[54.774775, 55.779831, 54.410999, 54.172204, 55.380031, 55.455446, 53.901917, 54.306814, 61.197764, 54.697893, 54.722601, 55.382858, 53.82833, 54.72623, 55.060358, 54.724118, 59.985952, 56.477759, 55.105472, 54.986588, 54.393913, 54.434391, 54.523889, 55.405428, 54.095249, 55.331514, 55.943331, 65.283586, 56.911824, 58.645076, 57.256686]",1
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,2,4,400.70056,479.1607977787703,417.348297,2150.975179,1733.626882,55.92344780645161,53.644761145322384,44.63091947189782,21012480,0,95,"[63.936518, 56.269841, 53.378, 58.99641, 53.991858, 65.46504, 59.024018, 55.482906, 53.206719, 54.951479, 54.506421, 55.072949, 57.461576, 57.575188, 55.148737, 54.076843, 54.159629, 53.522139, 60.35601, 57.093977, 53.837986, 54.0503, 54.132952, 53.252568, 54.137681, 55.534845, 54.065908, 53.853442, 55.557301, 55.709889, 55.813818]",1
