case_id,block,cpu_threads,gpu_peak_mib,prefill_ms_median,ttft_ms_median,decode_tpot_ms_median,generation_ms_median,generation_iqr_over_median,generation_max_over_median,slow_trials_over_1_5x_median
B3_S64_N32_G0,1,1,0.0,415.033471,401.220862,58.253130096774186,2207.913603,0.00923742395186467,1.185971737953009,0
B3_S64_N32_G0,2,1,0.0,400.70056,410.325725,55.92344780645161,2169.543437,0.059356114196113134,1.1041486361353734,0
B3_S64_N32_G3,1,1,258.93408203125,286.718372,295.855748,36.33974477419356,1422.387836,0.010905453215644649,1.19716910036905,0
B3_S64_N32_G3,2,1,258.93408203125,281.533941,289.108471,34.87229832258065,1367.30184,0.18651259037287624,1.1776316698293918,0
B3_S64_N32_G6,1,1,350.07763671875,198.805269,198.879199,27.23521416129032,1057.899066,0.0158753840888636,1.011044419430464,0
B3_S64_N32_G6,2,1,350.07763671875,210.859161,201.79425,26.446944,1022.105064,0.0060315257375538325,1.1785731853100376,0
B3_S64_N32_G9,1,1,444.15869140625,114.271942,110.997882,18.23626448387097,689.029534,0.018319117508249,1.2136509666652402,0
B3_S64_N32_G9,2,1,444.15869140625,128.807016,123.372734,20.552899129032262,781.613646,0.1992319885878758,1.1051717717835237,0
B3_S64_N32_G12,1,1,538.23974609375,13.219013,13.462389,11.63650912903226,373.101704,0.30894386641557653,1.2225684474493852,0
B3_S64_N32_G12,2,1,538.23974609375,11.463805,11.291409,8.964719096774195,289.191949,0.024243430787901893,1.1691832437562084,0
B3_S256_N32_G0,1,1,0.0,1736.583173,1730.890074,71.04208067741936,3934.345388,0.14073421761312838,1.1867115350981992,0
B3_S256_N32_G0,2,1,0.0,1668.601568,1629.312894,70.7784628064516,3826.161531,0.04679122027375789,1.0589949596145265,0
B3_S256_N32_G3,1,1,301.1259765625,1394.364367,1360.246774,48.00476996774193,2860.611478,0.02172814185988527,1.072438761989754,0
B3_S256_N32_G3,2,1,301.1259765625,1347.54151,1324.25398,45.734972064516136,2770.080087,0.10197220987423386,1.11133934338123,0
B3_S256_N32_G6,1,1,398.740234375,764.851726,754.344246,34.668503967741934,1834.110589,0.07167303748661799,1.1632893773124604,0
B3_S256_N32_G6,2,1,398.740234375,799.121928,817.415134,32.94294035483871,1829.886231,0.02210427638328947,1.2395586056519161,0
B3_S256_N32_G9,1,1,505.81884765625,558.743986,422.321866,21.958800677419354,1096.761661,0.1291212366694863,1.2485881378743782,0
B3_S256_N32_G9,2,1,505.85400390625,407.44176,466.186759,22.44359948387097,1161.938343,0.2262808733216922,1.163536907224689,0
B3_S256_N32_G12,1,1,620.18505859375,43.564194,74.720115,9.225577193548386,358.376739,0.010780292300165157,1.0321554351773932,0
