workload_id,budget_mib,policy,selected_gpu_layers,selection_status,oracle_gpu_layers,observed_budget_violation,regret_pct,measured_generation_ms,measured_peak_mib,outcome,cpu_threads
B3_S256_N32,256,max_gpu,0,predicted_feasible,0,False,0.0,3910.574985,0.0,feasible,1
B3_S256_N32,256,compute,0,predicted_feasible,0,False,0.0,3910.574985,0.0,feasible,1
B3_S256_N32,256,compute_transfer,0,predicted_feasible,0,False,0.0,3910.574985,0.0,feasible,1
B3_S256_N32,320,max_gpu,0,predicted_feasible,3,False,37.89136895433127,3910.574985,0.0,feasible,1
B3_S256_N32,320,compute,0,predicted_feasible,3,False,37.89136895433127,3910.574985,0.0,feasible,1
B3_S256_N32,320,compute_transfer,0,predicted_feasible,3,False,37.89136895433127,3910.574985,0.0,feasible,1
B3_S256_N32,384,max_gpu,3,predicted_feasible,3,False,0.0,2835.982422,301.1259765625,feasible,1
B3_S256_N32,384,compute,3,predicted_feasible,3,False,0.0,2835.982422,301.1259765625,feasible,1
B3_S256_N32,384,compute_transfer,3,predicted_feasible,3,False,0.0,2835.982422,301.1259765625,feasible,1
B3_S256_N32,448,max_gpu,6,predicted_feasible,6,False,0.0,1831.99841,398.740234375,feasible,1
B3_S256_N32,448,compute,6,predicted_feasible,6,False,0.0,1831.99841,398.740234375,feasible,1
B3_S256_N32,448,compute_transfer,6,predicted_feasible,6,False,0.0,1831.99841,398.740234375,feasible,1
B3_S256_N32,512,max_gpu,6,predicted_feasible,9,False,62.217063510484664,1831.99841,398.740234375,feasible,1
B3_S256_N32,512,compute,6,predicted_feasible,9,False,62.217063510484664,1831.99841,398.740234375,feasible,1
B3_S256_N32,512,compute_transfer,6,predicted_feasible,9,False,62.217063510484664,1831.99841,398.740234375,feasible,1
B3_S256_N32,640,max_gpu,9,predicted_feasible,12,False,215.15237564314646,1129.3500020000001,505.85400390625,feasible,1
B3_S256_N32,640,compute,9,predicted_feasible,12,False,215.15237564314646,1129.3500020000001,505.85400390625,feasible,1
B3_S256_N32,640,compute_transfer,9,predicted_feasible,12,False,215.15237564314646,1129.3500020000001,505.85400390625,feasible,1
B3_S256_N32,768,max_gpu,12,predicted_feasible,12,False,0.0,358.3504645,620.18505859375,feasible,1
B3_S256_N32,768,compute,12,predicted_feasible,12,False,0.0,358.3504645,620.18505859375,feasible,1
B3_S256_N32,768,compute_transfer,12,predicted_feasible,12,False,0.0,358.3504645,620.18505859375,feasible,1
B3_S256_N32,1024,max_gpu,12,predicted_feasible,12,False,0.0,358.3504645,620.18505859375,feasible,1
B3_S256_N32,1024,compute,12,predicted_feasible,12,False,0.0,358.3504645,620.18505859375,feasible,1
B3_S256_N32,1024,compute_transfer,12,predicted_feasible,12,False,0.0,358.3504645,620.18505859375,feasible,1
B3_S64_N32,256,max_gpu,0,predicted_feasible,0,False,0.0,2203.8236825,0.0,feasible,1
B3_S64_N32,256,compute,0,predicted_feasible,0,False,0.0,2203.8236825,0.0,feasible,1
B3_S64_N32,256,compute_transfer,0,predicted_feasible,0,False,0.0,2203.8236825,0.0,feasible,1
B3_S64_N32,320,max_gpu,3,predicted_feasible,3,False,0.0,1422.142959,258.93408203125,feasible,1
B3_S64_N32,320,compute,3,predicted_feasible,3,False,0.0,1422.142959,258.93408203125,feasible,1
B3_S64_N32,320,compute_transfer,3,predicted_feasible,3,False,0.0,1422.142959,258.93408203125,feasible,1
B3_S64_N32,384,max_gpu,3,predicted_feasible,6,False,36.37495692328274,1422.142959,258.93408203125,feasible,1
B3_S64_N32,384,compute,3,predicted_feasible,6,False,36.37495692328274,1422.142959,258.93408203125,feasible,1
B3_S64_N32,384,compute_transfer,3,predicted_feasible,6,False,36.37495692328274,1422.142959,258.93408203125,feasible,1
B3_S64_N32,448,max_gpu,6,predicted_feasible,9,False,51.17493875617705,1042.8182645000002,350.07763671875,feasible,1
B3_S64_N32,448,compute,6,predicted_feasible,9,False,51.17493875617705,1042.8182645000002,350.07763671875,feasible,1
B3_S64_N32,448,compute_transfer,6,predicted_feasible,9,False,51.17493875617705,1042.8182645000002,350.07763671875,feasible,1
B3_S64_N32,512,max_gpu,9,predicted_feasible,9,False,0.0,689.8089545,444.15869140625,feasible,1
B3_S64_N32,512,compute,9,predicted_feasible,9,False,0.0,689.8089545,444.15869140625,feasible,1
B3_S64_N32,512,compute_transfer,9,predicted_feasible,9,False,0.0,689.8089545,444.15869140625,feasible,1
B3_S64_N32,640,max_gpu,12,predicted_feasible,12,False,0.0,300.91040599999997,538.23974609375,feasible,1
B3_S64_N32,640,compute,12,predicted_feasible,12,False,0.0,300.91040599999997,538.23974609375,feasible,1
B3_S64_N32,640,compute_transfer,12,predicted_feasible,12,False,0.0,300.91040599999997,538.23974609375,feasible,1
B3_S64_N32,768,max_gpu,12,predicted_feasible,12,False,0.0,300.91040599999997,538.23974609375,feasible,1
B3_S64_N32,768,compute,12,predicted_feasible,12,False,0.0,300.91040599999997,538.23974609375,feasible,1
B3_S64_N32,768,compute_transfer,12,predicted_feasible,12,False,0.0,300.91040599999997,538.23974609375,feasible,1
B3_S64_N32,1024,max_gpu,12,predicted_feasible,12,False,0.0,300.91040599999997,538.23974609375,feasible,1
B3_S64_N32,1024,compute,12,predicted_feasible,12,False,0.0,300.91040599999997,538.23974609375,feasible,1
B3_S64_N32,1024,compute_transfer,12,predicted_feasible,12,False,0.0,300.91040599999997,538.23974609375,feasible,1
B3_S256_N32,256,max_gpu,0,predicted_feasible,0,False,0.0,4322.452784499999,0.0,feasible,2
B3_S256_N32,256,compute,0,predicted_feasible,0,False,0.0,4322.452784499999,0.0,feasible,2
B3_S256_N32,256,compute_transfer,0,predicted_feasible,0,False,0.0,4322.452784499999,0.0,feasible,2
B3_S256_N32,320,max_gpu,0,predicted_feasible,3,False,64.26418339582986,4322.452784499999,0.0,feasible,2
B3_S256_N32,320,compute,0,predicted_feasible,3,False,64.26418339582986,4322.452784499999,0.0,feasible,2
B3_S256_N32,320,compute_transfer,0,predicted_feasible,3,False,64.26418339582986,4322.452784499999,0.0,feasible,2
B3_S256_N32,384,max_gpu,3,predicted_feasible,3,False,0.0,2631.403082,301.1259765625,feasible,2
B3_S256_N32,384,compute,3,predicted_feasible,3,False,0.0,2631.403082,301.1259765625,feasible,2
B3_S256_N32,384,compute_transfer,3,predicted_feasible,3,False,0.0,2631.403082,301.1259765625,feasible,2
B3_S256_N32,448,max_gpu,6,predicted_feasible,6,False,0.0,1902.6470519999998,398.740234375,feasible,2
B3_S256_N32,448,compute,6,predicted_feasible,6,False,0.0,1902.6470519999998,398.740234375,feasible,2
B3_S256_N32,448,compute_transfer,6,predicted_feasible,6,False,0.0,1902.6470519999998,398.740234375,feasible,2
B3_S256_N32,512,max_gpu,6,predicted_feasible,9,False,70.75019108812586,1902.6470519999998,398.740234375,feasible,2
B3_S256_N32,512,compute,6,predicted_feasible,9,False,70.75019108812586,1902.6470519999998,398.740234375,feasible,2
B3_S256_N32,512,compute_transfer,6,predicted_feasible,9,False,70.75019108812586,1902.6470519999998,398.740234375,feasible,2
B3_S256_N32,640,max_gpu,9,predicted_feasible,12,False,227.0565708490714,1114.286924,505.81884765625,feasible,2
B3_S256_N32,640,compute,9,predicted_feasible,12,False,227.0565708490714,1114.286924,505.81884765625,feasible,2
B3_S256_N32,640,compute_transfer,9,predicted_feasible,12,False,227.0565708490714,1114.286924,505.81884765625,feasible,2
B3_S256_N32,768,max_gpu,12,predicted_feasible,12,False,0.0,340.701586,619.23974609375,feasible,2
B3_S256_N32,768,compute,12,predicted_feasible,12,False,0.0,340.701586,619.23974609375,feasible,2
B3_S256_N32,768,compute_transfer,12,predicted_feasible,12,False,0.0,340.701586,619.23974609375,feasible,2
B3_S256_N32,1024,max_gpu,12,predicted_feasible,12,False,0.0,340.701586,619.23974609375,feasible,2
B3_S256_N32,1024,compute,12,predicted_feasible,12,False,0.0,340.701586,619.23974609375,feasible,2
B3_S256_N32,1024,compute_transfer,12,predicted_feasible,12,False,0.0,340.701586,619.23974609375,feasible,2
B3_S64_N32,256,max_gpu,0,predicted_feasible,0,False,0.0,2197.718882,0.0,feasible,2
B3_S64_N32,256,compute,0,predicted_feasible,0,False,0.0,2197.718882,0.0,feasible,2
B3_S64_N32,256,compute_transfer,0,predicted_feasible,0,False,0.0,2197.718882,0.0,feasible,2
B3_S64_N32,320,max_gpu,3,predicted_feasible,3,False,0.0,1389.5825785000002,258.93408203125,feasible,2
B3_S64_N32,320,compute,3,predicted_feasible,3,False,0.0,1389.5825785000002,258.93408203125,feasible,2
B3_S64_N32,320,compute_transfer,3,predicted_feasible,3,False,0.0,1389.5825785000002,258.93408203125,feasible,2
B3_S64_N32,384,max_gpu,3,predicted_feasible,6,False,33.21234107177096,1389.5825785000002,258.93408203125,feasible,2
B3_S64_N32,384,compute,3,predicted_feasible,6,False,33.21234107177096,1389.5825785000002,258.93408203125,feasible,2
B3_S64_N32,384,compute_transfer,3,predicted_feasible,6,False,33.21234107177096,1389.5825785000002,258.93408203125,feasible,2
B3_S64_N32,448,max_gpu,6,predicted_feasible,9,False,53.32877071304212,1043.1335170000002,350.07763671875,feasible,2
B3_S64_N32,448,compute,6,predicted_feasible,9,False,53.32877071304212,1043.1335170000002,350.07763671875,feasible,2
B3_S64_N32,448,compute_transfer,6,predicted_feasible,9,False,53.32877071304212,1043.1335170000002,350.07763671875,feasible,2
B3_S64_N32,512,max_gpu,9,predicted_feasible,9,False,0.0,680.3247114999999,444.15869140625,feasible,2
B3_S64_N32,512,compute,9,predicted_feasible,9,False,0.0,680.3247114999999,444.15869140625,feasible,2
