workload_id,budget_mib,policy,selected_gpu_layers,selection_status
B3_S256_N32,256,max_gpu,0,predicted_feasible
B3_S256_N32,256,compute,0,predicted_feasible
B3_S256_N32,256,compute_transfer,0,predicted_feasible
B3_S256_N32,320,max_gpu,0,predicted_feasible
B3_S256_N32,320,compute,0,predicted_feasible
B3_S256_N32,320,compute_transfer,0,predicted_feasible
B3_S256_N32,384,max_gpu,3,predicted_feasible
B3_S256_N32,384,compute,3,predicted_feasible
B3_S256_N32,384,compute_transfer,3,predicted_feasible
B3_S256_N32,448,max_gpu,6,predicted_feasible
B3_S256_N32,448,compute,6,predicted_feasible
B3_S256_N32,448,compute_transfer,6,predicted_feasible
B3_S256_N32,512,max_gpu,6,predicted_feasible
B3_S256_N32,512,compute,6,predicted_feasible
B3_S256_N32,512,compute_transfer,6,predicted_feasible
B3_S256_N32,640,max_gpu,9,predicted_feasible
B3_S256_N32,640,compute,9,predicted_feasible
B3_S256_N32,640,compute_transfer,9,predicted_feasible
B3_S256_N32,768,max_gpu,12,predicted_feasible
B3_S256_N32,768,compute,12,predicted_feasible
B3_S256_N32,768,compute_transfer,12,predicted_feasible
B3_S256_N32,1024,max_gpu,12,predicted_feasible
B3_S256_N32,1024,compute,12,predicted_feasible
B3_S256_N32,1024,compute_transfer,12,predicted_feasible
B3_S64_N32,256,max_gpu,0,predicted_feasible
B3_S64_N32,256,compute,0,predicted_feasible
B3_S64_N32,256,compute_transfer,0,predicted_feasible
B3_S64_N32,320,max_gpu,3,predicted_feasible
B3_S64_N32,320,compute,3,predicted_feasible
B3_S64_N32,320,compute_transfer,3,predicted_feasible
B3_S64_N32,384,max_gpu,3,predicted_feasible
B3_S64_N32,384,compute,3,predicted_feasible
B3_S64_N32,384,compute_transfer,3,predicted_feasible
B3_S64_N32,448,max_gpu,6,predicted_feasible
B3_S64_N32,448,compute,6,predicted_feasible
B3_S64_N32,448,compute_transfer,6,predicted_feasible
B3_S64_N32,512,max_gpu,9,predicted_feasible
B3_S64_N32,512,compute,9,predicted_feasible
B3_S64_N32,512,compute_transfer,9,predicted_feasible
B3_S64_N32,640,max_gpu,12,predicted_feasible
B3_S64_N32,640,compute,12,predicted_feasible
B3_S64_N32,640,compute_transfer,12,predicted_feasible
B3_S64_N32,768,max_gpu,12,predicted_feasible
B3_S64_N32,768,compute,12,predicted_feasible
B3_S64_N32,768,compute_transfer,12,predicted_feasible
B3_S64_N32,1024,max_gpu,12,predicted_feasible
B3_S64_N32,1024,compute,12,predicted_feasible
B3_S64_N32,1024,compute_transfer,12,predicted_feasible
